,0
ACL_Risk_Score,0.23041428529864455
Load_Balance_Score,0.13507380049098994
Fatigue_Score,0.05814931933769251
Training_Hours_Per_Week,0.03826657817934736
Weight_kg,0.03816928762262164
Recovery_Days_Per_Week,0.036948351892724586
Athlete_ID_A171,0.03465665131304587
Performance_Score,0.03210202089963769
Athlete_ID_A107,0.029386858917973963
Team_Contribution_Score,0.028216454200172353
Athlete_ID_A024,0.0279269544647505
Athlete_ID_A191,0.02638367265826471
Height_cm,0.025942425333657305
Training_Intensity,0.02550872040830249
Athlete_ID_A192,0.02535583597692692
Age,0.025215715012379826
Athlete_ID_A095,0.024725194579442063
Athlete_ID_A129,0.021766677351376447
Athlete_ID_A145,0.019941282217870192
Match_Count_Per_Week,0.019314349465519867
