,0
ACL_Risk_Score,0.2482441645911377
Load_Balance_Score,0.13715604536833215
Fatigue_Score,0.0688302316412165
Recovery_Days_Per_Week,0.035124183882684124
Training_Hours_Per_Week,0.03494249966085736
Weight_kg,0.03367798096755055
Athlete_ID_A107,0.0307077257708902
Athlete_ID_A171,0.02953495657318011
Performance_Score,0.02855846297988039
Team_Contribution_Score,0.028255322052729976
Athlete_ID_A024,0.02664474677970273
Training_Intensity,0.025367364892111218
Athlete_ID_A192,0.02482370869818602
Athlete_ID_A095,0.02465928235541943
Height_cm,0.024150467955181214
Athlete_ID_A191,0.023729557412415968
Age,0.023252445767449045
Athlete_ID_A129,0.021574693327020587
Match_Count_Per_Week,0.018263428013030204
Athlete_ID_A145,0.017912661185786823
