,0
Impact_Force_Newtons,0.07762043915973384
Injury_Risk_Score,0.07350025088913796
Cumulative_Fatigue_Index,0.07221253029260961
Skin_Temperature_C,0.07106424884140543
Blood_Oxygen_Level_Percent,0.06828092387066227
Duration_Minutes,0.06633056782171837
Heart_Rate_BPM,0.0658996976731222
Respiratory_Rate_BPM,0.04561358613702361
Sport_Type_Football,0.01360240943206273
Activity_Type_Sprinting,0.012877531318695186
Sport_Type_Basketball,0.012825350161650154
Activity_Type_Jogging,0.01264544130503025
Activity_Type_Jumping,0.011413107596477482
Sport_Type_Tennis,0.011375624177108253
Activity_Type_Running,0.011304541814567621
Sport_Type_Soccer,0.010316619600678435
Athlete_ID_A0425,0.0020008804456225623
Athlete_ID_A0079,0.001947349599154122
Athlete_ID_A0078,0.0018629839239371125
Athlete_ID_A0773,0.0017929192048448267
