,0
Injury_Risk_Score,0.078865922612688
Cumulative_Fatigue_Index,0.0757940052208936
Skin_Temperature_C,0.0749176789403627
Impact_Force_Newtons,0.07374364255821836
Blood_Oxygen_Level_Percent,0.06743603897233105
Duration_Minutes,0.06530482231472187
Heart_Rate_BPM,0.06498583371347696
Respiratory_Rate_BPM,0.04222364884514892
Sport_Type_Football,0.013441710685358158
Activity_Type_Jogging,0.012856842887232288
Activity_Type_Sprinting,0.012471822696341046
Sport_Type_Tennis,0.011791422156094048
Activity_Type_Running,0.010993183350415386
Activity_Type_Jumping,0.010912666034930353
Sport_Type_Soccer,0.010399201113214799
Sport_Type_Basketball,0.010397908267620356
Athlete_ID_A0253,0.002014504738962536
Athlete_ID_A0057,0.0018768083771048597
Athlete_ID_A0425,0.001809118541498514
Athlete_ID_A0065,0.0018051725726171148
